rfm_segment,customers_in_segment,segment_total_orders,segment_total_spend,average_sales_per_order,overall_average_sales_per_order,difference_from_overall
Can't Lose Them,1734,2257,711899.720000003,315.418573327427,137.041585750241,178.376987577186
Champions,4613,5279,1224740.41,232.002350824019,137.041585750241,94.9607650737783
Loyal Customers,9260,10476,2403486.51999992,229.427884688805,137.041585750241,92.3862989385637
Hibernating,20298,20852,3736042.6299999,179.169510358714,137.041585750241,42.1279246084727
Needs Attention,6445,6492,932241.880000024,143.598564386942,137.041585750241,6.55697863670036
Potential Loyalists,18270,18384,2390588.95999976,130.036388163608,137.041585750241,-7.00519758663353
Recent Users,5233,5233,352304.29,67.3235792088668,137.041585750241,-69.7180065413744
About to Sleep,7687,7687,438999.450000006,57.1093339404197,137.041585750241,-79.9322518098215
Lost,15310,15310,873996.950000073,57.086672109737,137.041585750241,-79.9549136405042
Price Sensitive,2344,2344,82206.53,35.071045221843,137.041585750241,-101.970540528398
Promising,2164,2164,74990.7700000002,34.6537754158966,137.041585750241,-102.387810334345
